pseudo;nom;prenom;sexe;date_naissance;poids;grade
lucas01;Martin;Lucas;M;2009-03-14;62;Chevalier
emma_k;Dubois;Emma;F;2008-07-22;55;Maître
thomas10;Müller;Thomas;M;2010-01-08;58;Padawan
clara_09;Rossi;Clara;F;2009-11-30;52;Chevalier
hugo17;Bernard;Hugo;M;2008-05-17;67;Maître
lea05;Moreau;Léa;F;2010-09-05;50;Padawan
maxime11;Schmidt;Maxime;M;2009-12-11;64;Chevalier
anna_k;Weber;Anna;F;2008-02-26;54;Maître
arthur19;Leroy;Arthur;M;2011-04-19;47;Padawan
sophie13;Laurent;Sophie;F;2009-06-13;51;Chevalier
nicolas03;Fischer;Nicolas;M;2008-10-03;65;Maître
julie21;Fontaine;Julie;F;2010-08-21;49;Padawan
antoine27;Schneider;Antoine;M;2009-01-27;59;Chevalier
chloe15;Girard;Chloé;F;2008-12-15;53;Maître
alexandre09;Petit;Alexandre;M;2010-05-09;56;Padawan
camille28;Roux;Camille;F;2009-09-28;52;Chevalier
theo06;Blanc;Théo;M;2008-03-06;68;Maître
elise18;Robert;Élise;F;2011-02-18;46;Padawan
gabriel31;Schulz;Gabriel;M;2009-07-31;63;Chevalier
louise12;Marchand;Louise;F;2008-11-12;55;Maître
paul24;Lefèvre;Paul;M;2010-06-24;57;Padawan
manon07;Michel;Manon;F;2009-04-07;50;Chevalier
adrien19;Keller;Adrien;M;2008-09-19;66;Maître
amelie25;Faure;Amélie;F;2010-03-25;48;Padawan
julien10;Mercier;Julien;M;2009-10-10;61;Chevalier
marie29;Dupont;Marie;F;2008-06-29;54;Maître
quentin02;Vidal;Quentin;M;2010-12-02;60;Padawan
alice14;Meyer;Alice;F;2009-02-14;51;Chevalier
romain08;Garnier;Romain;M;2008-08-08;64;Maître
ines17;Blanchard;Inès;F;2010-10-17;49;Padawan
baptiste22;Chevalier;Baptiste;M;2009-05-22;62;Chevalier
zoe31;Hubert;Zoé;F;2008-01-31;53;Maître
valentin11;Fontana;Valentin;M;2011-06-11;48;Padawan
laura04;Marino;Laura;F;2009-08-04;50;Chevalier
matteo23;Ricci;Matteo;M;2008-04-23;65;Maître
claire06;Legrand;Claire;F;2010-11-06;47;Padawan
antoine20;Berger;Antoine;M;2009-12-20;60;Chevalier
hannah03;Klein;Hannah;F;2008-07-03;56;Maître
etienne12;Renard;Étienne;M;2010-02-12;57;Padawan
dorian16;Schwarz;Dorian;M;2009-09-16;63;Chevalier
